Ticket ID,Date Created,Issue,State,Zip
4917318,2021-07-22,Billing,PA,17042.0
5381397,2022-03-29,Unwanted Calls,SC,29860.0
4883372,2021-07-05,Availability,SC,29671.0
4955003,2021-08-11,Indecency,VA,23060.0
5383720,2022-03-29,Unwanted Calls,ID,83245.0
5207594,2021-12-24,Unwanted Calls,MS,38751.0
5207587,2021-12-24,Unwanted Calls,NY,10989.0
5207291,2021-12-23,Unwanted Calls,OR,97267.0
5583586,2022-07-05,Billing,OK,73162.0
5207399,2021-12-23,Unwanted Calls,IA,50473.0
5584248,2022-07-05,Unwanted Calls,MD,20768.0
5384876,2022-03-30,Unwanted Calls,PA,15206.0
5395932,2022-04-02,Unwanted Calls,NY,11763.0
5384980,2022-03-30,Unwanted Calls,SC,29803.0
5583912,2022-07-05,Availability,TX,75090.0
4957792,2021-08-12,Interference,IL,60102.0
4932150,2021-07-30,Billing,PA,16441.0
4954346,2021-08-11,Billing,CA,92054.0
5206290,2021-12-23,Interference (including signal jammers),FL,32824.0
5206175,2021-12-23,Availability,MD,20747.0
4957579,2021-08-12,Unwanted Calls,OK,73031.0
5434460,2022-04-21,Availability,FL,33770.0
5206133,2021-12-23,Interference,CA,90002.0
5204296,2021-12-22,Availability,FL,33068.0
5395985,2022-04-02,Unwanted Calls,OR,97403.0
4896145,2021-07-12,Equipment,NM,80721.0
4839148,2021-06-13,Interference,AR,72654.0
5434714,2022-04-21,Unwanted Calls,CA,93933.0
5206183,2021-12-23,Billing,MI,49024.0
5206293,2021-12-23,Unwanted Calls,CA,91354.0
5382422,2022-03-29,Unwanted Calls,IA,51401.0
5207471,2021-12-23,Unwanted Calls,CA,91355.0
5206961,2021-12-23,Unwanted Calls,KY,41015.0
4915524,2021-07-22,Availability (including rural call completion),CA,90002.0
5381461,2022-03-29,Unwanted Calls,GA,30328.0
5207623,2021-12-24,Billing,AL,36109.0
4948575,2021-08-08,Unwanted Calls,IL,60457.0
5206640,2021-12-23,Unwanted Calls,OR,97229.0
5434875,2022-04-21,Billing,TN,38571.0
5396365,2022-04-02,Loud Commercials,TX,79938.0
5396694,2022-04-02,Unwanted Calls,MI,48072.0
5583775,2022-07-05,Unwanted Calls,TN,37615.0
5584574,2022-07-05,Billing,MD,21013.0
5585862,2022-07-06,Interference,NJ,8527.0
5207505,2021-12-23,Cramming (unauthorized charges on your phone bill),CA,91791.0
4925660,2021-07-27,Availability (including rural call completion),MO,65722.0
4956530,2021-08-12,Billing,NY,10308.0
5396183,2022-04-02,Unwanted Calls,MO,64156.0
4955557,2021-08-11,Availability (including rural call completion),PA,18951.0
5206212,2021-12-23,Availability,PA,19107.0
5206972,2021-12-23,Number Portability (keeping your number if you change providers),VA,22534.0
5382799,2022-03-29,Unwanted Calls,CA,90292.0
4895473,2021-07-12,Interference,NV,89086.0
5382476,2022-03-29,Unwanted Calls,OR,97214.0
5381372,2022-03-29,Unwanted Calls,CA,90605.0
5384695,2022-03-30,Unwanted Calls,VA,23002.0
4942349,2021-08-04,Billing,VA,22202.0
5382721,2022-03-29,Unwanted Calls,ID,83702.0
5207360,2021-12-23,Availability,PA,16601.0
5206905,2021-12-23,Unwanted Calls,MA,1720.0
5584743,2022-07-05,Billing,VA,20165.0
5206433,2021-12-23,Unwanted Calls,NJ,8525.0
5207186,2021-12-23,Availability,WI,53548.0
5585431,2022-07-05,Unwanted Calls,IN,46040.0
4839700,2021-06-14,Availability,AZ,85053.0
4882425,2021-07-05,Billing,IA,52246.0
5206466,2021-12-23,Unwanted Calls,CT,6712.0
4954326,2021-08-11,Billing,WA,98528.0
5396729,2022-04-02,Billing,AK,99515.0
5396714,2022-04-02,Availability,TX,77831.0
5584397,2022-07-05,Number Portability (keeping your number if you change providers),TX,77503.0
5584607,2022-07-05,Unwanted Calls,WA,99005.0
4952217,2021-08-10,Billing,FL,33771.0
5396841,2022-04-03,Equipment,CA,91352.0
4951938,2021-08-10,Availability,MN,55381.0
5383728,2022-03-29,Unwanted Calls,VA,20171.0
5383337,2022-03-29,Unwanted Calls,NY,11572.0
5382216,2022-03-29,Unwanted Calls,SC,29575.0
4956788,2021-08-12,Availability (including rural call completion),IA,51521.0
5396231,2022-04-02,Availability,TX,77830.0
4956594,2021-08-12,Availability,GA,30311.0
5206047,2021-12-23,Availability,CA,92009.0
5381342,2022-03-29,Unwanted Calls,NY,10128.0
5207666,2021-12-24,Billing,AZ,85375.0
5381624,2022-03-29,Unwanted Calls,FL,33418.0
5584368,2022-07-05,Privacy,MD,20904.0
4726300,2021-04-20,Billing,AL,35570.0
5395834,2022-04-02,Indecency,CA,90265.0
5207325,2021-12-23,Unwanted Calls,MI,49445.0
5207420,2021-12-23,Speed,TX,76534.0
5382737,2022-03-29,Unwanted Calls,FL,32503.0
4898042,2021-07-13,Billing,AL,36323.0
4868729,2021-06-28,Availability,OR,97202.0
5207280,2021-12-23,Unwanted Calls,CA,92130.0
4893481,2021-07-10,Loud Commercials,CT,6437.0
4958795,2021-08-13,Indecency,IL,60625.0
5207323,2021-12-23,Junk Faxes,CA,94952.0
5384828,2022-03-30,Unwanted Calls,NY,10960.0
5207456,2021-12-23,Unwanted Calls,NY,10460.0
5396828,2022-04-03,Availability,MA,2171.0
5584862,2022-07-05,Billing,CA,95070.0
4956753,2021-08-12,Interference,FL,33029.0
4958490,2021-08-12,Unwanted Calls,TX,77058.0
4957327,2021-08-12,Unwanted Calls,NY,10709.0
5396053,2022-04-02,Unwanted Calls,NJ,7423.0
5206131,2021-12-23,Interference,CA,90002.0
5384215,2022-03-29,Unwanted Calls,NC,27513.0
4949619,2021-08-09,Billing,VA,22209.0
5207269,2021-12-23,Billing,OK,74464.0
4949178,2021-08-08,Loud Commercials,NY,11733.0
5396379,2022-04-02,Availability,TX,77830.0
5381521,2022-03-29,Unwanted Calls,TX,76063.0
5207431,2021-12-23,Unwanted Calls,CA,92082.0
5382091,2022-03-29,Unwanted Calls,FL,34233.0
5559684,2022-06-22,Unwanted Calls,WV,26431.0
5207059,2021-12-23,Billing,MA,1440.0
4945268,2021-08-05,Equipment,GA,30619.0
5384601,2022-03-30,Unwanted Calls,OH,44012.0
5207364,2021-12-23,Billing,PA,19143.0
5206614,2021-12-23,Unwanted Calls,NJ,8046.0
5396569,2022-04-02,Availability,NV,89119.0
5396374,2022-04-02,Availability,TX,75901.0
5384809,2022-03-30,Unwanted Calls,NY,12401.0
5207011,2021-12-23,Unwanted Calls,CA,93004.0
5384914,2022-03-30,Unwanted Calls,OR,97229.0
5583901,2022-07-05,Availability (including rural call completion),MA,2459.0
4957040,2021-08-12,Billing,AZ,86005.0
5396838,2022-04-03,Availability,PR,726.0
5584060,2022-07-05,Privacy,NC,27040.0
4957852,2021-08-12,Unwanted Calls,CA,92869.0
4957628,2021-08-12,Unwanted Calls,NC,28173.0
4958005,2021-08-12,Unwanted Calls,WY,82609.0
5207681,2021-12-24,Unwanted Calls,IA,52245.0
4957312,2021-08-12,Unwanted Calls,KS,66062.0
5396291,2022-04-02,Speed,WI,53024.0
5206076,2021-12-23,Loud Commercials,UT,84062.0
5396872,2022-04-03,Unwanted Calls,OR,97330.0
5396151,2022-04-02,Unwanted Calls,CA,93933.0
4817926,2021-06-03,Speed,WI,54137.0
5396807,2022-04-03,Unwanted Calls,CA,95831.0
4877765,2021-07-01,Number Portability (keeping your number if you change providers),FL,33137.0
5396629,2022-04-02,Unwanted Calls,FL,32837.0
4868765,2021-06-28,Availability,AL,35053.0
5396373,2022-04-02,Interference,KS,67156.0
4891653,2021-07-09,Billing,NY,10458.0
5381427,2022-03-29,Unwanted Calls,IN,46545.0
5206507,2021-12-23,Unwanted Calls,FL,32097.0
5396293,2022-04-02,Availability,TX,77868.0
5206817,2021-12-23,Unwanted Calls,CO,80817.0
5583765,2022-07-05,Billing,NV,89107.0
5206639,2021-12-23,Pirate Radio,MO,63026.0
5206938,2021-12-23,Unwanted Calls,FL,33073.0
5396949,2022-04-03,Availability,PR,623.0
5395835,2022-04-02,Availability (including rural call completion),TX,75229.0
5585645,2022-07-06,Availability (including rural call completion),KY,41503.0
5584501,2022-07-05,Unwanted Calls,IL,60601.0
4956904,2021-08-12,Loud Commercials,IL,60443.0
4958412,2021-08-12,Unwanted Calls,WA,98801.0
4952253,2021-08-10,Billing,NJ,7013.0
5396424,2022-04-02,Billing,GA,30342.0
4927473,2021-07-28,Availability,KY,42025.0
5206228,2021-12-23,Availability (including rural call completion),CA,94703.0
5384395,2022-03-29,Unwanted Calls,WI,54474.0
5384158,2022-03-29,Unwanted Calls,CA,95404.0
5205904,2021-12-23,Equipment,PA,17976.0
4956071,2021-08-11,Equipment,PA,19131.0
5381574,2022-03-29,Unwanted Calls,GA,30342.0
4946767,2021-08-06,Equipment,MI,48014.0
5206101,2021-12-23,Equipment,AZ,86314.0
5381990,2022-03-29,Unwanted Calls,CA,90292.0
5384560,2022-03-29,Unwanted Calls,NJ,8360.0
5207479,2021-12-23,Unwanted Calls,MD,21403.0
5206799,2021-12-23,Unwanted Calls,MN,55406.0
5383634,2022-03-29,Unwanted Calls,FL,80205.0
5207515,2021-12-23,Unwanted Calls,CT,6082.0
5396660,2022-04-02,Indecency,MO,64130.0
5207113,2021-12-23,Unwanted Calls,MO,63124.0
4841931,2021-06-14,Billing,VA,22202.0
5585490,2022-07-05,Equipment,TN,37043.0
5395850,2022-04-02,Unwanted Calls,ME,4330.0
5584184,2022-07-05,Unwanted Calls,NM,87006.0
4902215,2021-07-14,Billing,MN,55118.0
5583650,2022-07-05,Availability (including rural call completion),NC,27283.0
5584842,2022-07-05,Unwanted Calls,NJ,8055.0
4926333,2021-07-27,Billing,OH,44256.0
4898491,2021-07-13,Billing,TX,78258.0
5207111,2021-12-23,Interference (including signal jammers),NY,13057.0
4955673,2021-08-11,Availability,WA,98367.0
5381490,2022-03-29,Unwanted Calls,FL,32821.0
5384549,2022-03-29,Unwanted Calls,VA,22043.0
4956414,2021-08-12,Billing,TX,78201.0
5384384,2022-03-29,Unwanted Calls,MA,1720.0
5396913,2022-04-03,Unwanted Calls,MO,64014.0
4956419,2021-08-12,Availability,NY,10977.0
5207715,2021-12-24,Equipment,LA,70663.0
4901401,2021-07-14,Equipment,CA,90025.0
5382547,2022-03-29,Unwanted Calls,NC,27502.0
5383551,2022-03-29,Unwanted Calls,PA,18428.0
4956292,2021-08-12,Billing,CA,90245.0
5206853,2021-12-23,Unwanted Calls,NJ,8520.0
5206116,2021-12-23,Availability (including rural call completion),CA,90002.0
5206434,2021-12-23,Unwanted Calls,AL,36869.0
5385055,2022-03-30,Unwanted Calls,OR,97055.0
5207163,2021-12-23,Unwanted Calls,CO,80401.0
5583296,2022-07-05,Interference (including signal jammers),IL,62040.0
4904531,2021-07-15,Availability,GA,30572.0
5206091,2021-12-23,Unwanted Calls,CA,92234.0
5396444,2022-04-02,Unwanted Calls,GA,30327.0
5396819,2022-04-03,Availability,KY,42518.0
5384943,2022-03-30,Unwanted Calls,MN,55421.0
5395997,2022-04-02,Unwanted Calls,OR,97403.0
5584575,2022-07-05,Privacy,NJ,8816.0
5584133,2022-07-05,Unwanted Calls,VA,23464.0
5281929,2022-02-04,Availability,CA,95949.0
4828224,2021-06-08,Equipment,IL,60622.0
4955656,2021-08-11,Availability (including rural call completion),WI,53137.0
4955697,2021-08-11,Interference,AL,35121.0
5207442,2021-12-23,Other,MA,1752.0
5280909,2022-02-03,Unwanted Calls,CA,90808.0
5281888,2022-02-04,Cramming (unauthorized charges on your phone bill),WI,53154.0
5396134,2022-04-02,Unwanted Calls,OR,97080.0
5280284,2022-02-03,Billing,TX,78255.0
5281166,2022-02-03,Unwanted Calls,TX,78634.0
4957725,2021-08-12,Availability,NY,11415.0
5383686,2022-03-29,Unwanted Calls,VA,20171.0
5280170,2022-02-03,Unwanted Calls,FL,33309.0
5395968,2022-04-02,Indecency,CA,90640.0
4896575,2021-07-12,Billing,NY,10467.0
4953203,2021-08-10,Privacy,MN,55401.0
5396652,2022-04-02,Availability,TX,77830.0
4957965,2021-08-12,Privacy,MA,1803.0
4827722,2021-06-08,Availability,FL,33597.0
5206541,2021-12-23,Availability (including rural call completion),AZ,85297.0
5395896,2022-04-02,Interference,MO,65738.0
5206848,2021-12-23,Unwanted Calls,CA,90026.0
5207493,2021-12-23,Billing,CA,91001.0
4948676,2021-08-08,Unwanted Calls,TX,76109.0
5206694,2021-12-23,Cramming (unauthorized charges on your phone bill),NY,12531.0
5384968,2022-03-30,Unwanted Calls,OH,44632.0
5280506,2022-02-03,Availability,AL,36027.0
5583310,2022-07-05,Speed,LA,70560.0
5280736,2022-02-03,Equipment,FL,33759.0
5206491,2021-12-23,Billing,WI,53965.0
5585451,2022-07-05,Tower,WI,53203.0
4843196,2021-06-15,Availability,MS,39663.0
5206484,2021-12-23,Billing,CA,92363.0
4957385,2021-08-12,Equipment,IL,61606.0
5206509,2021-12-23,Unwanted Calls,WA,98118.0
5206250,2021-12-23,Availability (including rural call completion),OK,74840.0
5384745,2022-03-30,Unwanted Calls,CA,94563.0
5384543,2022-03-29,Unwanted Calls,MI,48005.0
4957706,2021-08-12,Unwanted Calls,NY,10022.0
5382300,2022-03-29,Unwanted Calls,MI,48823.0
4956973,2021-08-12,Unwanted Calls,TX,78253.0
5199700,2021-12-19,Unwanted Calls,WI,53212.0
4952566,2021-08-10,Availability (including rural call completion),OK,73159.0
4862059,2021-06-24,Equipment,MI,49444.0
5383034,2022-03-29,Unwanted Calls,AL,36107.0
5207381,2021-12-23,Unwanted Calls,HI,96819.0
4958821,2021-08-13,Billing,MD,21043.0
5206386,2021-12-23,Unwanted Calls,OH,44256.0
5207131,2021-12-23,Unwanted Calls,WA,98083.0
4956908,2021-08-12,Billing,NC,28021.0
5396075,2022-04-02,Unwanted Calls,ID,83647.0
5206216,2021-12-23,Unwanted Calls,IL,61727.0
5206214,2021-12-23,Billing,TX,75206.0
5395842,2022-04-02,Speed,CA,93440.0
5583313,2022-07-05,Speed,FL,33319.0
4896663,2021-07-12,Billing,MD,21231.0
5396155,2022-04-02,Unwanted Calls,CA,93933.0
5396477,2022-04-02,Unwanted Calls,VA,22101.0
5583303,2022-07-05,Availability (including rural call completion),VA,23434.0
5583863,2022-07-05,Unwanted Calls,TN,37343.0
4956153,2021-08-11,Equipment,AZ,86426.0
4958048,2021-08-12,Interference,MS,38751.0
4958176,2021-08-12,Unwanted Calls,IN,46220.0
4923943,2021-07-27,Billing,MI,48879.0
4957165,2021-08-12,Unwanted Calls,TX,75234.0
5397011,2022-04-03,Unwanted Calls,UT,84010.0
5396585,2022-04-02,Unwanted Calls,CA,90803.0
4893517,2021-07-10,Availability,NY,10306.0
5383169,2022-03-29,Unwanted Calls,NJ,8054.0
4954451,2021-08-11,Equipment,WI,54727.0
5381079,2022-03-29,Unwanted Calls,AL,35242.0
5585387,2022-07-05,Availability,OH,45805.0
5207211,2021-12-23,Equipment,OR,97007.0
5396078,2022-04-02,Billing,CA,92356.0
5382363,2022-03-29,Unwanted Calls,AR,71901.0
5384296,2022-03-29,Unwanted Calls,CA,94558.0
5207393,2021-12-23,Unwanted Calls,CA,91307.0
5396497,2022-04-02,Billing,TN,37069.0
5206970,2021-12-23,Unwanted Calls,NY,11590.0
4894533,2021-07-11,Billing,FL,33909.0
5206349,2021-12-23,Unwanted Calls,CA,91354.0
5384874,2022-03-30,Unwanted Calls,TX,77573.0
5206449,2021-12-23,Speed,VA,24315.0
5584816,2022-07-05,Loud Commercials,CA,92646.0
5207350,2021-12-23,Unwanted Calls,NY,13032.0
5396876,2022-04-03,Availability,TX,77868.0
5585543,2022-07-06,Unwanted Calls,NY,12203.0
4955365,2021-08-11,Billing,NY,11413.0
4958351,2021-08-12,Unwanted Calls,FL,33025.0
5383501,2022-03-29,Unwanted Calls,CA,94041.0
5207240,2021-12-23,Unwanted Calls,FL,32817.0
5383192,2022-03-29,Unwanted Calls,PA,19401.0
5206383,2021-12-23,Privacy,FL,32958.0
5207706,2021-12-24,Unwanted Calls,AL,36091.0
4897464,2021-07-12,Billing,CA,90245.0
5381935,2022-03-29,Unwanted Calls,IL,60610.0
5383097,2022-03-29,Unwanted Calls,TX,77833.0
4951688,2021-08-10,Billing,NJ,7821.0
5205181,2021-12-22,Availability (including rural call completion),NC,27205.0
5395908,2022-04-02,Unwanted Calls,CO,80224.0
4920245,2021-07-24,Billing,MA,2184.0
4949125,2021-08-08,Unwanted Calls,WI,54302.0
5206436,2021-12-23,Unwanted Calls,GA,30081.0
4936472,2021-08-02,Billing,NM,88426.0
5206182,2021-12-23,Billing,FL,32789.0
5206585,2021-12-23,Interference (including signal jammers),NM,87124.0
5396368,2022-04-02,Availability,TX,77868.0
4957665,2021-08-12,Billing,SC,29673.0
5206285,2021-12-23,Unwanted Calls,NM,87102.0
4868616,2021-06-28,Billing,MI,48183.0
5207265,2021-12-23,Unwanted Calls,CO,80239.0
5206918,2021-12-23,Unwanted Calls,CA,93551.0
5396997,2022-04-03,Loud Commercials,NM,87410.0
5207100,2021-12-23,Unwanted Calls,TX,75081.0
5207412,2021-12-23,Billing,TX,77389.0
5396598,2022-04-02,Pirate Radio,CA,93619.0
5585257,2022-07-05,Availability,AZ,85704.0
5584690,2022-07-05,Unwanted Calls,AZ,85282.0
5206267,2021-12-23,Availability,NY,13846.0
4957251,2021-08-12,Unwanted Calls,OK,73012.0
5207459,2021-12-23,Unwanted Calls,FL,32163.0
4956509,2021-08-12,Pirate Radio,TX,76513.0
5206988,2021-12-23,Billing,GA,30350.0
5381162,2022-03-29,Unwanted Calls,OR,97381.0
5381169,2022-03-29,Unwanted Calls,CO,80218.0
4957571,2021-08-12,Billing,NY,10548.0
5584028,2022-07-05,Billing,TX,79556.0
5206680,2021-12-23,Availability,MS,39501.0
4955278,2021-08-11,Billing,AL,36863.0
5397003,2022-04-03,Unwanted Calls,NJ,7040.0
5381226,2022-03-29,Unwanted Calls,NC,28532.0
4949019,2021-08-08,Availability,WI,54484.0
5206638,2021-12-23,Tower,MO,64746.0
5396322,2022-04-02,Availability,TX,77830.0
5205491,2021-12-22,Billing,MA,2492.0
5206685,2021-12-23,Unwanted Calls,TX,75835.0
5206171,2021-12-23,Equipment,AL,35749.0
4912493,2021-07-20,Availability,VA,24324.0
4953154,2021-08-10,Billing,MI,48045.0
5206722,2021-12-23,Unwanted Calls,TN,38302.0
5206164,2021-12-23,Unwanted Calls,VA,20194.0
5395923,2022-04-02,Equipment,IL,60048.0
5207103,2021-12-23,Availability,MI,48625.0
5395933,2022-04-02,Availability (including rural call completion),FL,32081.0
4907675,2021-07-17,Billing,IL,60630.0
5584837,2022-07-05,Unwanted Calls,CA,90045.0
5585734,2022-07-06,Speed,LA,70560.0
4956921,2021-08-12,Unwanted Calls,KS,66062.0
5207593,2021-12-24,Availability (including rural call completion),NY,12901.0
4943042,2021-08-05,Billing,TX,78213.0
5207142,2021-12-23,Loud Commercials,WI,53142.0
5206389,2021-12-23,Unwanted Calls,CA,91354.0
4955307,2021-08-11,Billing,GA,30102.0
4956515,2021-08-12,Availability (including rural call completion),CA,92110.0
5206708,2021-12-23,Equipment,MD,21157.0
5200035,2021-12-20,Unwanted Calls,NJ,7851.0
5396012,2022-04-02,Unwanted Calls,GA,30122.0
4831517,2021-06-09,Availability,NY,10940.0
5396028,2022-04-02,Billing,FL,32822.0
5207310,2021-12-23,Unwanted Calls,MI,48386.0
5206889,2021-12-23,Unwanted Calls,AL,35406.0
5382552,2022-03-29,Unwanted Calls,MN,55006.0
5206257,2021-12-23,Unwanted Calls,MI,48191.0
5206753,2021-12-23,Availability (including rural call completion),TX,78613.0
5383471,2022-03-29,Unwanted Calls,CO,80013.0
5396814,2022-04-03,Number Portability (keeping your number if you change providers),NC,28206.0
5206542,2021-12-23,Unwanted Calls,FL,33707.0
5396930,2022-04-03,Billing,PA,19010.0
5584636,2022-07-05,Unwanted Calls,MD,20744.0
5389490,2022-03-31,Unwanted Calls,PA,18810.0
5601474,2022-07-13,Availability (including rural call completion),AZ,85547.0
5583900,2022-07-05,Unwanted Calls,WI,53594.0
5584061,2022-07-05,Availability (including rural call completion),IN,46140.0
6044940,2023-02-20,Unwanted Calls,AL,35603.0
4958401,2021-08-12,Unwanted Calls,NC,27215.0
5207457,2021-12-23,Availability (including rural call completion),TX,77379.0
4956500,2021-08-12,Unwanted Calls,CA,0.0
4913523,2021-07-21,Interference (including signal jammers),WI,53217.0
4894805,2021-07-11,Billing,FL,33701.0
5206788,2021-12-23,Unwanted Calls,OR,97223.0
5292662,2022-02-10,Unwanted Calls,CA,90638.0
5206646,2021-12-23,Unwanted Calls,FL,32097.0
4956022,2021-08-11,Availability,TX,78412.0
5600926,2022-07-13,Equipment,FL,32345.0
5292465,2022-02-10,Availability (including rural call completion),NY,10950.0
5206205,2021-12-23,Unwanted Calls,IL,61727.0
5291383,2022-02-09,Availability (including rural call completion),IN,46614.0
5281514,2022-02-03,Availability,NM,88312.0
5291525,2022-02-09,Unwanted Calls,OR,97306.0
5280303,2022-02-03,Unwanted Calls,IL,61727.0
4932816,2021-07-30,Billing,TX,75023.0
4948956,2021-08-08,Unwanted Calls,KY,40601.0
4955034,2021-08-11,Equipment,PA,17011.0
5281265,2022-02-03,Availability,TX,78253.0
5383277,2022-03-29,Unwanted Calls,CO,81435.0
5291356,2022-02-09,Unwanted Calls,CA,90503.0
4956516,2021-08-12,Availability (including rural call completion),CA,92110.0
5389485,2022-03-31,Number Portability (keeping your number if you change providers),FL,32828.0
5291642,2022-02-09,Availability,WA,98292.0
5396350,2022-04-02,Interference,MO,64050.0
5585316,2022-07-05,Unwanted Calls,PA,15120.0
4958708,2021-08-12,Unwanted Calls,PA,17847.0
4957308,2021-08-12,Unwanted Calls,CA,94506.0
4958604,2021-08-12,Unwanted Calls,ID,83835.0
5207680,2021-12-24,Unwanted Calls,IA,52245.0
5423553,2022-04-15,Unwanted Calls,FL,33955.0
5396601,2022-04-02,Unwanted Calls,NE,68137.0
4956689,2021-08-12,Unwanted Calls,DE,19801.0
5396796,2022-04-03,Unwanted Calls,CA,94806.0
4916380,2021-07-22,Availability,IL,60120.0
5423880,2022-04-15,Unwanted Calls,OK,73099.0
4909316,2021-07-19,Availability (including rural call completion),CA,93024.0
5429015,2022-04-19,Unwanted Calls,NY,11423.0
4845655,2021-06-16,Equipment,WA,98591.0
5429014,2022-04-19,Junk Faxes,MI,
4847900,2021-06-17,Billing,NM,87547.0
5207374,2021-12-23,Unwanted Calls,NM,87547.0
5429746,2022-04-19,Unwanted Calls,WA,98273.0
5207437,2021-12-23,Unwanted Calls,GA,30064.0
5428610,2022-04-18,Equipment,CA,93001.0
5206663,2021-12-23,Unwanted Calls,MD,20715.0
5206676,2021-12-23,Privacy,TX,78705.0
5429407,2022-04-19,Unwanted Calls,IN,46062.0
5207357,2021-12-23,Unwanted Calls,OH,44111.0
5430500,2022-04-19,Billing,NJ,8226.0
5585227,2022-07-05,Equipment,IA,50477.0
5585395,2022-07-05,Unwanted Calls,NV,89449.0
5584198,2022-07-05,Unwanted Calls,TX,79762.0
5206875,2021-12-23,Phone,MS,39301.0
4958546,2021-08-12,Unwanted Calls,WA,99223.0
5383547,2022-03-29,Unwanted Calls,WV,26034.0
4782432,2021-05-17,Availability (including rural call completion),MA,1060.0
4941340,2021-08-04,Equipment,CO,81003.0
5199990,2021-12-19,Unwanted Calls,CA,91356.0
5384491,2022-03-29,Unwanted Calls,NY,11372.0
5384735,2022-03-30,Unwanted Calls,NC,28226.0
5206765,2021-12-23,Availability,GA,30324.0
4956356,2021-08-12,Equipment,NC,27520.0
5382411,2022-03-29,Unwanted Calls,AR,72404.0
5205086,2021-12-22,Equipment,CA,92694.0
4958040,2021-08-12,Billing,MN,55128.0
5206319,2021-12-23,Unwanted Calls,CA,91354.0
5396135,2022-04-02,Unwanted Calls,VA,20194.0
5207055,2021-12-23,Unwanted Calls,CA,91942.0
5206490,2021-12-23,Unwanted Calls,VA,23150.0
5584599,2022-07-05,Unwanted Calls,NJ,7205.0
4927226,2021-07-28,Billing,SC,29401.0
4873705,2021-06-30,Billing,MD,21136.0
5206553,2021-12-23,Unwanted Calls,FL,32097.0
5384915,2022-03-30,Unwanted Calls,IL,60423.0
5395912,2022-04-02,Unwanted Calls,TX,78628.0
5385031,2022-03-30,Unwanted Calls,CA,95389.0
5206096,2021-12-23,Unwanted Calls,TX,75093.0
4948853,2021-08-08,Unwanted Calls,PA,15233.0
4899658,2021-07-13,Indecency,MI,49203.0
5585440,2022-07-05,Availability,NE,68131.0
5578894,2022-07-01,Unwanted Calls,IL,60660.0
5584919,2022-07-05,Availability,MS,38637.0
4954804,2021-08-11,Speed,WI,53805.0
5207675,2021-12-24,Unwanted Calls,IA,52245.0
4957735,2021-08-12,Unwanted Calls,SC,29642.0
4954289,2021-08-11,Indecency,NC,28358.0
5397001,2022-04-03,Speed,CA,96035.0
5384470,2022-03-29,Unwanted Calls,IL,60640.0
4847504,2021-06-17,Interference,AZ,85373.0
4955346,2021-08-11,Privacy,IN,46360.0
5207709,2021-12-24,Loud Commercials,MT,59847.0
5396583,2022-04-02,Billing,DE,19904.0
5383858,2022-03-29,Unwanted Calls,VA,23464.0
5396685,2022-04-02,Loud Commercials,GA,30144.0
5207133,2021-12-23,Availability,PA,17845.0
5396923,2022-04-03,Unwanted Calls,PA,16066.0
4929991,2021-07-29,Availability (including rural call completion),GA,30043.0
5395817,2022-04-02,Unwanted Calls,CA,90006.0
5206468,2021-12-23,Availability (including rural call completion),MS,39581.0
5207477,2021-12-23,Unwanted Calls,PA,18960.0
